id,coordinates,Start_Date,End_Date
269537,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269538,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269539,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269540,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269541,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,640.0
269542,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,640.0
269543,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269544,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,300.0
269545,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,640.0
269546,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269547,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269548,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269549,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269550,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269551,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269552,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269553,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269554,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,300.0
269555,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,300.0
269556,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269557,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269558,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,640.0
269559,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269560,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269561,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-330.0,300.0
269562,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269563,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
269564,"[[[-5.0, 36.0], [3.0, 36.0], [3.0, 41.0], [-5.0, 41.0], [-5.0, 36.0]]]",-30.0,640.0
277087,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277088,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277089,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277090,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277091,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277092,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277093,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277094,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
277095,"[[[-7.0, 33.0], [-4.0, 33.0], [-4.0, 36.5], [-7.0, 36.5], [-7.0, 33.0]]]",-30.0,640.0
289167,"[[[-5.0, 32.0], [3.0, 32.0], [3.0, 36.0], [-5.0, 36.0], [-5.0, 32.0]]]",-30.0,640.0
289168,"[[[-5.0, 32.0], [3.0, 32.0], [3.0, 36.0], [-5.0, 36.0], [-5.0, 32.0]]]",-30.0,640.0
